"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","768-1007-1-ND","FT232RL-REEL","IC USB FS SERIAL UART 28-SSOP","","1","0","4.50000","4.50"
"2","1","455-1734-1-ND","B2B-PH-SM4-TB(LF)(SN)","CONN HEADER SMD 2POS 2MM","","1","0","0.55000","0.55"
"3","1","296-45565-1-ND","MSP432P401RIRGCR","IC MCU 32BIT 256KB FLASH 64VQFN","","1","0","6.66000","6.66"
"4","2","MBR0520LT1GOSCT-ND","MBR0520LT1G","DIODE SCHOTTKY 20V 500MA SOD123","","2","0","0.29000","0.58"
"5","1","DMG3415UFY4Q-7DICT-ND","DMG3415UFY4Q-7","MOSFET P-CH 16V 2.5A X2-DFN2015","","1","0","0.51000","0.51"
"6","1","BSS138CT-ND","BSS138","MOSFET N-CH 50V 220MA SOT-23","","1","0","0.26000","0.26"
"7","1","MIC5239-3.3YS-CT-ND","MIC5239-3.3YS-TR","IC REG LINEAR 3.3V 500MA SOT223","","1","0","2.66000","2.66"
"8","2","511-1494-1-ND","TCM0J106M8R","CAP TANT 10UF 20% 6.3V 0603","","2","0","0.62000","1.24"
"9","1","445-8022-1-ND","C1005X5R1A335M050BC","CAP CER 3.3UF 10V X5R 0402","","1","0","0.49000","0.49"
"10","2","399-7775-1-ND","C0402C220K5GACTU","CAP CER 22PF 50V C0G/NP0 0402","","2","0","0.10000","0.20"
"11","10","1276-1004-1-ND","CL05F104ZO5NNNC","CAP CER 0.1UF 16V Y5V 0402","","10","0","0.02000","0.20"
"12","1","399-9948-1-ND","C0402C112J5GAC7867","CAP CER 1100PF 50V C0G/NP0 0402","","1","0","0.54000","0.54"
"13","1","490-1316-1-ND","GRM155R71A473KA01D","CAP CER 0.047UF 10V X7R 0402","","1","0","0.10000","0.10"
"14","5","718-2358-1-ND","TMCJ0J475MTRF","CAP TANT 4.7UF 20% 6.3V 0603","","5","0","0.39000","1.95"
"15","2","311-220LRCT-ND","RC0402FR-07220RL","RES SMD 220 OHM 1% 1/16W 0402","","2","0","0.10000","0.20"
"16","1","RMCF0805ZT0R00CT-ND","RMCF0805ZT0R00","RES 0 OHM JUMPER 1/8W 0805","","1","0","0.10000","0.10"
"17","3","A130045CT-ND","CRGCQ0402J330R","CRGCQ 0402 330R 5%","","3","0","0.10000","0.30"
"18","2","A130046CT-ND","CRGCQ0402J470R","CRGCQ 0402 470R 5%","","2","0","0.10000","0.20"
"19","2","P1.0KJCT-ND","ERJ-2GEJ102X","RES SMD 1K OHM 5% 1/10W 0402","","2","0","0.10000","0.20"
"20","1","A130375CT-ND","CRGP0402F47K","CRGP 0402 47K 1%","","1","0","0.10000","0.10"
"21","1","311-100KLRCT-ND","RC0402FR-07100KL","RES SMD 100K OHM 1% 1/16W 0402","","1","0","0.10000","0.10"
"22","1","P2.20KLCT-ND","ERJ-2RKF2201X","RES SMD 2.2K OHM 1% 1/10W 0402","","1","0","0.10000","0.10"
"23","3","732-4966-1-ND","150060BS75000","LED BLUE CLEAR 0603 SMD","","3","0","0.16000","0.48"
"24","2","350-2035-1-ND","5988070107F","LED GREEN CLEAR 0603 SMD","","2","0","0.42000","0.84"
"25","2","732-4978-1-ND","150060RS75000","LED RED CLEAR 0603 SMD","","2","0","0.14000","0.28"
"26","1","XC2668CT-ND","ECS-480-10-37-JTN-TR","CRYSTAL 48MHZ 10PF SMD","","1","0","0.66000","0.66"
"27","1","609-5379-1-ND","10118192-0002LF","CONN RCPT USB2.0 MICRO B SMD R/A","","1","0","0.46000","0.46"
